epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,3524.03,0.06016,0.42124,0.1348,0.08731,0.8591,0.99997,1,0.995,0.995,0.9975,0.99754,0.99263,0.98237,0.08854,0.19823,0.12381,0.21607,0.3724,0.004555,0.004555,0.004555
57,3584.84,0.05853,0.39972,0.13292,0.08654,0.85795,0.99997,1,0.995,0.995,0.9975,0.99754,0.99288,0.98322,0.0688,0.20934,0.12468,0.19475,0.3551,0.004456,0.004456,0.004456
58,3649.27,0.05842,0.38843,0.13067,0.08778,0.85696,0.99997,1,0.995,0.995,0.9975,0.99754,0.99258,0.98594,0.06568,0.21838,0.12537,0.20725,0.36328,0.004357,0.004357,0.004357
59,3718.65,0.05774,0.40543,0.131,0.08552,0.85785,0.99997,1,0.995,0.995,0.9975,0.99754,0.99304,0.98389,0.05391,0.18072,0.11916,0.19975,0.33837,0.004258,0.004258,0.004258
60,3781.48,0.05528,0.39993,0.12831,0.08352,0.85737,0.99997,1,0.995,0.995,0.9975,0.99754,0.99283,0.98553,0.08797,0.19842,0.11763,0.22354,0.37393,0.004159,0.004159,0.004159
61,3844.52,0.0549,0.40075,0.13032,0.08121,0.8567,0.99997,1,0.995,0.995,0.9975,0.99754,0.99273,0.98522,0.08147,0.19041,0.11765,0.20901,0.37597,0.00406,0.00406,0.00406
62,3908.12,0.0534,0.38694,0.12916,0.08098,0.85536,0.99997,1,0.995,0.995,0.99689,0.99692,0.9923,0.98687,0.08926,0.18913,0.11732,0.21434,0.38008,0.003961,0.003961,0.003961
63,3972.34,0.05344,0.37916,0.12649,0.08049,0.85608,0.99997,1,0.995,0.995,0.9975,0.99754,0.99334,0.98821,0.10673,0.18348,0.11662,0.2175,0.41084,0.003862,0.003862,0.003862
64,4036.83,0.0517,0.39141,0.12756,0.07989,0.85774,0.99997,1,0.995,0.995,0.9975,0.99754,0.99365,0.99018,0.07286,0.17952,0.11478,0.20955,0.36382,0.003763,0.003763,0.003763
65,4100.46,0.0512,0.36391,0.12507,0.07809,0.85888,0.99997,1,0.995,0.995,0.9975,0.99754,0.9931,0.98989,0.05769,0.18347,0.11874,0.16924,0.34463,0.003664,0.003664,0.003664
66,4155.06,0.05187,0.36153,0.12487,0.08099,0.85369,0.99997,1,0.995,0.995,0.9975,0.99754,0.99333,0.98772,0.09131,0.16484,0.11377,0.23996,0.37777,0.003565,0.003565,0.003565
67,4209.6,0.05208,0.3351,0.1232,0.07925,0.85815,0.99997,1,0.995,0.995,0.9975,0.99754,0.99409,0.99105,0.06058,0.15323,0.11364,0.18721,0.34938,0.003466,0.003466,0.003466
68,4264.54,0.05008,0.34308,0.12315,0.07542,0.85736,0.99997,1,0.995,0.995,0.9975,0.99754,0.99404,0.99085,0.08216,0.16449,0.11331,0.21656,0.37652,0.003367,0.003367,0.003367
69,4318.89,0.04931,0.34518,0.12256,0.07712,0.85896,0.99997,1,0.995,0.995,0.99689,0.99692,0.99217,0.98729,0.06745,0.17691,0.11371,0.18237,0.36011,0.003268,0.003268,0.003268
70,4373.64,0.04933,0.34609,0.12305,0.07633,0.85455,0.99997,1,0.995,0.995,0.9975,0.99754,0.99258,0.98849,0.06671,0.17686,0.11466,0.17482,0.35388,0.003169,0.003169,0.003169
71,4427.42,0.04828,0.33266,0.11938,0.07556,0.85412,0.99997,1,0.995,0.995,0.9975,0.99754,0.99342,0.99019,0.04635,0.15262,0.11121,0.11267,0.32962,0.00307,0.00307,0.00307
72,4480.99,0.04764,0.32201,0.11946,0.07523,0.85342,0.99997,1,0.995,0.995,0.9975,0.99754,0.99258,0.99062,0.05699,0.14964,0.10977,0.1503,0.33626,0.002971,0.002971,0.002971
73,4534.4,0.04559,0.32946,0.11868,0.07222,0.85613,0.99997,1,0.995,0.995,0.9975,0.99754,0.99281,0.99019,0.05238,0.15665,0.11057,0.14415,0.33185,0.002872,0.002872,0.002872
74,4587.66,0.04581,0.31992,0.11954,0.0733,0.85439,0.99997,1,0.995,0.995,0.9975,0.99754,0.99293,0.9914,0.05681,0.1515,0.10927,0.20327,0.34145,0.002773,0.002773,0.002773
75,4640.49,0.04496,0.30698,0.11798,0.07196,0.85574,0.99997,1,0.995,0.995,0.9975,0.99754,0.9932,0.99165,0.05987,0.15718,0.10875,0.21846,0.35107,0.002674,0.002674,0.002674
76,4693.48,0.04388,0.33278,0.11735,0.07173,0.85487,0.99997,1,0.995,0.995,0.9975,0.99754,0.99317,0.99117,0.06647,0.1613,0.1091,0.22001,0.3592,0.002575,0.002575,0.002575
77,4747.08,0.04362,0.30563,0.11601,0.0706,0.85431,1,1,0.995,0.995,0.99754,0.99754,0.99255,0.99084,0.04487,0.14149,0.10645,0.14964,0.3334,0.002476,0.002476,0.002476
78,4801.15,0.04273,0.30275,0.11474,0.06884,0.85504,0.99997,1,0.995,0.995,0.9975,0.99754,0.99268,0.99122,0.05259,0.14419,0.10709,0.16328,0.33863,0.002377,0.002377,0.002377
79,4854.74,0.04255,0.29145,0.1155,0.06929,0.85534,0.99997,1,0.995,0.995,0.9975,0.99754,0.99271,0.99168,0.04355,0.13113,0.10465,0.11014,0.32139,0.002278,0.002278,0.002278
80,4907.8,0.04126,0.28458,0.11411,0.06693,0.85742,0.99997,1,0.995,0.995,0.9975,0.99754,0.99312,0.99193,0.04394,0.13386,0.10536,0.11869,0.32517,0.002179,0.002179,0.002179
81,4961.11,0.04032,0.28578,0.11306,0.06736,0.85506,0.99997,1,0.995,0.995,0.9975,0.99754,0.99271,0.99119,0.04279,0.12793,0.10538,0.08409,0.32181,0.00208,0.00208,0.00208
82,5014.17,0.03969,0.26714,0.11207,0.06438,0.85726,0.99997,1,0.995,0.995,0.9975,0.99754,0.993,0.99185,0.03977,0.12693,0.10456,0.12121,0.32156,0.001981,0.001981,0.001981
83,5066.64,0.03899,0.27895,0.11234,0.06417,0.85428,0.99997,1,0.995,0.995,0.9975,0.99754,0.99386,0.99317,0.04294,0.12532,0.10365,0.13086,0.32593,0.001882,0.001882,0.001882
84,5119.56,0.03843,0.26456,0.10884,0.06358,0.85312,0.99997,1,0.995,0.995,0.9975,0.99754,0.9947,0.9933,0.03954,0.13056,0.10416,0.13756,0.32412,0.001783,0.001783,0.001783
85,5172.07,0.03812,0.27012,0.11086,0.06332,0.85526,0.99997,1,0.995,0.995,0.9975,0.99754,0.99442,0.99387,0.03962,0.12355,0.10306,0.11558,0.32222,0.001684,0.001684,0.001684
86,5224.57,0.03679,0.26734,0.10947,0.06224,0.855,0.99997,1,0.995,0.995,0.9975,0.99754,0.99392,0.99345,0.03854,0.1214,0.10312,0.12214,0.32171,0.001585,0.001585,0.001585
87,5277.36,0.03667,0.25687,0.10867,0.06205,0.85258,0.99997,1,0.995,0.995,0.9975,0.99754,0.99372,0.99332,0.03701,0.12299,0.10178,0.12873,0.31864,0.001486,0.001486,0.001486
88,5329.91,0.03552,0.24527,0.10971,0.06057,0.8534,0.99997,1,0.995,0.995,0.9975,0.99754,0.99357,0.99337,0.03417,0.12506,0.10112,0.09811,0.3154,0.001387,0.001387,0.001387
89,5382.47,0.03502,0.2429,0.10706,0.06015,0.85294,0.99997,1,0.995,0.995,0.9975,0.99754,0.99379,0.9934,0.03618,0.12105,0.10114,0.09243,0.31682,0.001288,0.001288,0.001288
90,5434.71,0.03437,0.24388,0.10746,0.05917,0.85274,0.99997,1,0.995,0.995,0.9975,0.99754,0.99382,0.99334,0.03552,0.11809,0.10006,0.07227,0.31526,0.001189,0.001189,0.001189
91,5530.27,0.04088,0.15136,0.10121,0.10186,0.83195,0.99997,1,0.995,0.995,0.9975,0.99754,0.9932,0.99276,0.03698,0.11748,0.09708,0.10657,0.32101,0.00109,0.00109,0.00109
92,5607.63,0.03234,0.12343,0.09587,0.04863,0.82617,0.99997,1,0.995,0.995,0.9975,0.99754,0.99283,0.99241,0.04305,0.11582,0.09478,0.12917,0.3293,0.000991,0.000991,0.000991
93,5684.67,0.02969,0.11717,0.09333,0.04631,0.82625,0.99997,1,0.995,0.995,0.9975,0.99754,0.99273,0.99236,0.04733,0.11011,0.09171,0.14357,0.33493,0.000892,0.000892,0.000892
94,5761.81,0.02771,0.11182,0.08995,0.04397,0.82664,0.99997,1,0.995,0.995,0.9975,0.99754,0.99278,0.9927,0.04913,0.10728,0.08994,0.15382,0.33686,0.000793,0.000793,0.000793
95,5840.15,0.0261,0.1109,0.09146,0.04116,0.82424,0.99997,1,0.995,0.995,0.9975,0.99754,0.99261,0.99253,0.04946,0.10746,0.08963,0.14894,0.33437,0.000694,0.000694,0.000694
96,5918.29,0.02466,0.10577,0.08814,0.04062,0.82295,0.99997,1,0.995,0.995,0.9975,0.99754,0.99256,0.99247,0.04174,0.10509,0.08907,0.12449,0.32497,0.000595,0.000595,0.000595
97,5996.27,0.02384,0.10342,0.08738,0.03884,0.82783,0.99997,1,0.995,0.995,0.9975,0.99754,0.99321,0.99309,0.03921,0.10319,0.08725,0.14523,0.32451,0.000496,0.000496,0.000496
98,6074.39,0.02228,0.10128,0.08874,0.03642,0.8254,0.99997,1,0.995,0.995,0.9975,0.99754,0.99377,0.99368,0.03571,0.10066,0.08638,0.11807,0.31995,0.000397,0.000397,0.000397
99,6151.74,0.02126,0.09959,0.08696,0.03537,0.82632,1,1,0.995,0.995,0.99754,0.99754,0.99409,0.99393,0.03527,0.09991,0.08567,0.10272,0.31895,0.000298,0.000298,0.000298
100,6230.65,0.0202,0.09644,0.08548,0.03429,0.82448,1,1,0.995,0.995,0.99754,0.99754,0.99436,0.99416,0.03568,0.09882,0.08528,0.086,0.31806,0.000199,0.000199,0.000199
